Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales
CA-2017-152156,2017-11-08,2017-11-11,Second Class,Claire Gute,Consumer,Henderson,Kentucky,42420,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96
CA-2017-152156,2017-11-08,2017-11-11,Second Class,Claire Gute,Consumer,Henderson,Kentucky,42420,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
CA-2017-138688,2017-06-12,2017-06-16,Second Class,Darrin Van Huff,Corporate,Los Angeles,California,90036,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62
US-2016-108966,2016-10-11,2016-10-18,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,33311,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775
US-2016-108966,2016-10-11,2016-10-18,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,Office Supplies,Art,Newell 322,7.28
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9
